https://shop.adidas.jp/products/IX6440,"       3XS   2XS    XS     S     M     L    XL   2XL   3XL
ウエスト  64cm  67cm  70cm  72cm  75cm  76cm  79cm  86cm  93cm
  股下  77cm  77cm  77cm  78cm  78cm  78cm  78cm  78cm  78cm
  股上  28cm  28cm  29cm  29cm  30cm  31cm  32cm  32cm  33cm
 ヒップ 100cm 104cm 108cm 109cm 112cm 115cm 120cm 126cm 133cm
 裾回り  44cm  45cm  45cm  46cm  47cm  48cm  49cm  50cm  51cm"
https://shop.adidas.jp/products/IU2341,"         XS     S     M     L    XL   2XL   3XL
   胸囲 102cm 105cm 110cm 112cm 117cm 123cm 130cm
うしろ着丈  67cm  68cm  69cm  69cm  70cm  72cm  73cm
   袖丈  19cm  19cm  20cm  20cm  21cm  22cm  23cm"
https://shop.adidas.jp/products/IS2661,"        XS    S     M     L    XL   2XL   3XL
   胸囲 95cm 98cm 103cm 105cm 110cm 116cm 123cm
うしろ着丈 67cm 68cm  69cm  69cm  70cm  72cm  73cm
   袖丈 23cm 23cm  24cm  24cm  25cm  26cm  27cm"
https://shop.adidas.jp/products/IV5579,"        XS     S     M     L    XL
ウエスト  66cm  72cm  78cm  84cm  91cm
  股下  14cm  16cm  17cm  18cm  19cm
  股上  38cm  38cm  39cm  39cm  40cm
 ヒップ 115cm 121cm 127cm 133cm 139cm
 裾回り  59cm  61cm  63cm  65cm  67cm"
https://shop.adidas.jp/products/IS2662,"        XS    S     M     L    XL   2XL   3XL
   胸囲 95cm 98cm 103cm 105cm 110cm 116cm 123cm
うしろ着丈 67cm 68cm  69cm  69cm  70cm  72cm  73cm
   袖丈 23cm 23cm  24cm  24cm  25cm  26cm  27cm"
https://shop.adidas.jp/products/IV5582/,"         XS     S     M     L    XL
   胸囲 119cm 125cm 131cm 137cm 143cm
うしろ着丈  72cm  72cm  73cm  75cm  77cm
   袖丈  63cm  64cm  64cm  64cm  65cm
  袖口幅  10cm  10cm  11cm  11cm  11cm"
https://shop.adidas.jp/products/IS0525,"         S     M     L    XL   2XL   3XL
   胸囲 99cm 104cm 106cm 111cm 117cm 124cm
うしろ着丈 70cm  71cm  71cm  72cm  74cm  76cm
   袖丈 20cm  21cm  21cm  21cm  23cm  24cm"
https://shop.adidas.jp/products/IV5585,"        XS    S    M    L   XL
   胸囲 60cm 63cm 66cm 69cm 72cm
うしろ着丈 73cm 74cm 75cm 76cm 78cm
   袖丈 63cm 64cm 64cm 64cm 65cm"
https://shop.adidas.jp/products/IS0283,"         S     M     L    XL   2XL
   胸囲 98cm 103cm 105cm 110cm 116cm
うしろ着丈 68cm  69cm  69cm  70cm  72cm
   袖丈 23cm  24cm  24cm  25cm  26cm"
https://shop.adidas.jp/products/IV5641,"        XS     S      M      L    XL
 胸囲  116cm 122cm  128cm  134cm 138cm
 着丈 75.5cm  77cm 77.5cm 80.5cm  83cm
 肩幅   52cm  55cm   56cm 58.5cm  61cm
そで丈   21cm  21cm 22.5cm 22.5cm  23cm"
https://shop.adidas.jp/products/IN8702,"         XS     S     M
   胸囲 111cm 117cm 123cm
うしろ着丈  82cm  83cm  84cm
   袖丈  65cm  66cm  66cm
  袖口幅  30cm  31cm  32cm"
https://shop.adidas.jp/products/IN8703,"         XS     S     M
   胸囲 113cm 119cm 125cm
うしろ着丈  79cm  80cm  81cm
   袖丈  66cm  67cm  67cm
  袖口幅  25cm  26cm  27cm"
https://shop.adidas.jp/products/IU0085,"        XS     M    XL   2XL
   胸囲 96cm 102cm 110cm 118cm
うしろ着丈 65cm  68cm  70cm  72cm
   袖丈 22cm  24cm  26cm  26cm"
https://shop.adidas.jp/products/IN8743,"        XS     M    XL   2XL
   胸囲 95cm 101cm 109cm 117cm
うしろ着丈 71cm  73cm  75cm  77cm
   袖丈 34cm  36cm  37cm  38cm"
https://shop.adidas.jp/products/IU0091,"        XS    S     M     L    XL   2XL   3XL
   胸囲 95cm 98cm 103cm 105cm 110cm 116cm 123cm
うしろ着丈 67cm 68cm  69cm  69cm  70cm  72cm  73cm
   袖丈 23cm 23cm  24cm  24cm  25cm  26cm  27cm"
https://shop.adidas.jp/products/IN8746,"         XS     M    XL   2XL
   胸囲 107cm 113cm 119cm 125cm
うしろ着丈  72cm  73cm  74cm  76cm
フード長さ  49cm  50cm  50cm  51cm
   袖丈  80cm  81cm  82cm  83cm"
https://shop.adidas.jp/products/IU0092,"        XS    S     M     L    XL   2XL   3XL
   胸囲 95cm 98cm 103cm 105cm 110cm 116cm 123cm
うしろ着丈 67cm 68cm  69cm  69cm  70cm  72cm  73cm
   袖丈 23cm 23cm  24cm  24cm  25cm  26cm  27cm"
https://shop.adidas.jp/products/IN8747,"       XS    M    XL   2XL
ウエスト 62cm 68cm  75cm  82cm
  股下 13cm 13cm  13cm  13cm
  股上 26cm 27cm  28cm  29cm
 ヒップ 91cm 97cm 105cm 113cm
 裾回り 56cm 59cm  63cm  68cm"
https://shop.adidas.jp/products/IT0902/,"        XS    S     M     L    XL   2XL   3XL
   胸囲 95cm 98cm 103cm 105cm 110cm 116cm 123cm
うしろ着丈 67cm 68cm  69cm  69cm  70cm  72cm  73cm
   袖丈 23cm 23cm  24cm  24cm  25cm  26cm  27cm"
